time(s);category;event;details
60580;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#92
60590;COMM;STATE_CHANGE;Receiver->Re/Tr
60600;COMM;STATE_CHANGE;Re/Tr->Receiver
60600;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#93
60610;COMM;STATE_CHANGE;Receiver->Re/Tr
60620;COMM;STATE_CHANGE;Re/Tr->Receiver
60620;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#94
60630;COMM;STATE_CHANGE;Receiver->Re/Tr
60640;COMM;STATE_CHANGE;Re/Tr->Receiver
60640;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#95
60650;COMM;STATE_CHANGE;Receiver->Re/Tr
60660;COMM;STATE_CHANGE;Re/Tr->Receiver
60660;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#96
60670;COMM;STATE_CHANGE;Receiver->Re/Tr
60680;COMM;STATE_CHANGE;Re/Tr->Receiver
60680;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#97
60690;COMM;STATE_CHANGE;Receiver->Re/Tr
60700;COMM;STATE_CHANGE;Re/Tr->Receiver
60700;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#98
60710;COMM;STATE_CHANGE;Receiver->Re/Tr
60720;COMM;STATE_CHANGE;Re/Tr->Receiver
60720;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#99
60730;COMM;STATE_CHANGE;Receiver->Re/Tr
60740;COMM;STATE_CHANGE;Re/Tr->Receiver
60740;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#100
60750;COMM;STATE_CHANGE;Receiver->Re/Tr
60760;COMM;STATE_CHANGE;Re/Tr->Receiver
60760;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#101
60770;COMM;STATE_CHANGE;Receiver->Re/Tr
60780;COMM;STATE_CHANGE;Re/Tr->Receiver
60780;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#102
60790;COMM;STATE_CHANGE;Receiver->Re/Tr
60800;COMM;STATE_CHANGE;Re/Tr->Receiver
60800;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#103
60810;COMM;STATE_CHANGE;Receiver->Re/Tr
60820;COMM;STATE_CHANGE;Re/Tr->Receiver
60820;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#104
60830;COMM;STATE_CHANGE;Receiver->Re/Tr
60840;COMM;STATE_CHANGE;Re/Tr->Receiver
